Year	AnnualStats	TotalMovies	AverageProductionBudget	CombinedWorldwideBox Office	No. 1 Movie
2019	Annual Stats	 1,179	 $44,250,345	 $6,472,965,836	 Captain Marvel
2018	Annual Stats	 3,785	 $48,752,878	 $37,891,615,040	 Avengers: Infinity War
2017	Annual Stats	 3,565	 $52,675,088	 $37,648,766,765	 Star Wars Ep. VIII: The Last Jedi
2016	Annual Stats	 3,413	 $42,617,222	 $36,767,890,721	 Captain America: Civil War
2015	Annual Stats	 3,083	 $26,781,715	 $35,914,150,670	 Star Wars Ep. VII: The Force Awakens
2014	Annual Stats	 1,597	 $30,349,074	 $29,903,546,206	 Transformers: Age of Extinction
2013	Annual Stats	 1,411	 $38,024,489	 $29,664,078,673	 Frozen
2012	Annual Stats	 1,510	 $34,251,499	 $31,529,343,442	 The Avengers
2011	Annual Stats	 1,291	 $35,739,129	 $27,451,620,223	 Harry Potter and the Deathly Hallows: Part II
2010	Annual Stats	 1,267	 $33,289,215	 $25,387,951,115	 Toy Story 3
2009	Annual Stats	 1,206	 $35,872,342	 $26,097,485,513	 Avatar
2008	Annual Stats	 1,109	 $31,733,132	 $23,981,927,086	 The Dark Knight
2007	Annual Stats	 1,036	 $33,130,321	 $23,256,089,440	 Pirates of the Caribbean: At World’s End
2006	Annual Stats	 834	 $29,037,767	 $20,057,646,829	 Pirates of the Caribbean: Dead Man’s Chest
2005	Annual Stats	 621	 $33,575,087	 $18,323,462,935	 Harry Potter and the Goblet of Fire
2004	Annual Stats	 597	 $35,209,188	 $19,089,938,151	 Shrek 2
2003	Annual Stats	 531	 $32,124,594	 $17,687,708,544	 The Lord of the Rings: The Return of the King
2002	Annual Stats	 496	 $31,214,465	 $17,014,109,925	 The Lord of the Rings: The Two Towers
2001	Annual Stats	 492	 $32,534,641	 $15,047,688,429	 Harry Potter and the Sorcerer’s Stone
2000	Annual Stats	 533	 $31,167,926	 $13,323,846,520	 Mission: Impossible 2
1999	Annual Stats	 483	 $30,010,033	 $13,515,842,221	 Star Wars Ep. I: The Phantom Menace
1998	Annual Stats	 412	 $30,016,993	 $11,619,975,020	 Armageddon
1997	Annual Stats	 359	 $40,298,903	 $12,762,961,369	 Titanic
1996	Annual Stats	 322	 $31,575,708	 $10,138,141,805	 Independence Day
1995	Annual Stats	 283	 $35,020,946	 $9,865,077,411	 Die Hard: With a Vengeance
1994	 	 254	 $29,368,895	 $8,767,023,485	 The Lion King
1993	 	 227	 $20,379,735	 $7,919,753,081	 Jurassic Park
1992	 	 208	 $26,031,429	 $6,921,408,168	 Aladdin
1991	 	 222	 $22,051,487	 $6,349,380,323	 Beauty and the Beast
1990	 	 221	 $26,244,333	 $6,636,162,819	 Ghost
1989	 	 211	 $18,995,000	 $5,720,330,919	 Indiana Jones and the Last Crusade
1988	 	 225	 $15,419,355	 $4,755,198,602	 Rain Man
1987	 	 233	 $14,015,714	 $4,097,969,197	 Fatal Attraction
1986	 	 232	 $15,020,455	 $3,582,181,901	 Top Gun
1985	 	 214	 $13,406,897	 $3,801,277,551	 Back to the Future
1984	 	 192	 $15,188,393	 $3,871,627,001	 Indiana Jones and the Temple of Doom
1983	 	 195	 $13,599,250	 $3,236,076,931	 Star Wars Ep. VI: Return of the Jedi
1982	 	 159	 $12,296,667	 $3,503,837,389	 ET: The Extra-Terrestrial
1981	 	 153	 $12,860,000	 $2,763,814,465	 Raiders of the Lost Ark
1980	 	 150	 $13,493,103	 $2,877,778,998	 Star Wars Ep. V: The Empire Strikes Back
1979	 	 119	 $14,142,778	 $2,426,985,760	 Moonraker
1978	 	 76	 $13,178,846	 $2,240,598,271	 Grease
1977	 	 68	 $10,880,000	 $2,696,097,171	 Star Wars Ep. IV: A New Hope
1976	 	 57	 $4,909,091	 $1,144,477,295	 Rocky
1975	 	 62	 $4,662,500	 $1,227,226,316	 Jaws
1974	 	 52	 $5,130,909	 $1,198,749,688	 Towering Inferno
1973	 	 52	 $4,401,754	 $1,303,158,068	 The Exorcist
1972	 	 47	 $2,616,000	 $831,537,517	 The Godfather
1971	 	 54	 $3,705,556	 $640,316,534	 Diamonds Are Forever
1970	 	 70	 $11,346,995	 $771,268,673	 Love Story
1969	 	 61	 $9,680,000	 $653,678,751	 Butch Cassidy and the Sundance Kid
1968	 	 66	 $4,735,111	 $635,313,548	 2001: A Space Odyssey
1967	 	 59	 $4,000,000	 $929,600,582	 The Jungle Book
1966	 	 56	 $4,796,300	 $423,303,585	 The Bible
1965	 	 50	 $9,633,333	 $819,834,778	 The Sound of Music
1964	 	 52	 $6,185,000	 $554,643,440	 Goldfinger
1963	 	 55	 $9,948,250	 $506,834,586	 Cleopatra
1962	 	 57	 $6,970,000	 $295,853,246	 Lawrence of Arabia
1961	 	 49	 $3,580,000	 $464,181,098	 101 Dalmatians
1960	 	 47	 $6,800,000	 $250,751,541	 Spartacus
1959	 	 37	 $6,595,962	 $271,619,914	 Ben-Hur
1958	 	 30	 $3,000,000	 $142,801,129	 South Pacific
1957	 	 37	 $2,780,000	 $137,498,176	 The Bridge on the River Kwai
1956	 	 46	 $4,274,000	 $273,312,615	 The Ten Commandments
1955	 	 34	 $1,388,500	 $198,320,335	 Lady and the Tramp
1954	 	 51	 $3,636,667	 $235,327,133	 White Christmas
1953	 	 39	 $2,128,000	 $232,940,690	 Peter Pan
1952	 	 25	 $2,423,333	 $80,197,173	 The Greatest Show on Earth
1951	 	 37	 $2,958,333	 $112,588,075	 Quo Vadis?
1950	 	 29	 $3,334,393	 $320,279,772	 Cinderella
1949	 	 33	 $1,300,000	 $82,960,157	 Samson and Delilah
1948	 	 37	 $3,350,000	 $68,115,446	 The Snake Pit
1947	 	 38	 $2,000,000	 $87,464,339	 Forever Amber
1946	 	 34	 $3,242,200	 $243,866,812	 Song of the South
1945	 	 32	 $1,636,667	 $126,719,804	 The Bells of St. Mary's
1944	 	 19	 $3,780,500	 $38,224,606	 Going My Way
1943	 	 25	 $1,833,000	 $76,327,621	 This is the Army
1942	 	 25	 $496,000	 $322,105,954	 Bambi
1941	 	 28	 $1,250,000	 $34,972,365	 Sergeant York
1940	 	 23	 $1,964,312	 $189,678,403	 Pinocchio
1939	 	 27	 $2,725,667	 $436,200,089	 Gone with the Wind
1938	 	 20	 $1,822,000	 $13,945,659	 You Can't Take It With You
1937	 	 24	 $1,488,000	 $197,240,106	 Snow White and the Seven Dwarfs
1936	 	 19	 $1,333,333	 $16,558,551	 How to Become a Detective
1935	 	 17	 $609,000	 $3,202,000	 Top Hat
1934	 	 15	 $325,000	 $3,624,084	 It Happened One Night
1933	 	 15	 $437,000	 $14,281,650	 King Kong
1932	 	 15	 	 $8,973	 The Old Dark House
1931	 	 20	 $558,000	 $16,953,731	 Frankenstein
1930	 	 16	 $4,000,000	 $11,112,526	 Tom Sawyer
1929	 	 19	 $379,000	 $7,087,611	 The Broadway Melody
1928	 	 8	 	 $11,231,298	 The Singing Fool
1927	 	 11	 $2,000,000	 $4,229,216	 The Jazz Singer
1926	 	 6	 	 $3,002,993	 Aloma of the South Seas
1925	 	 12	 $2,072,500	 $31,051,198	 The Big Parade
1924	 	 5	 	 $18,835	 Der müde Tod
1923	 	 4	 	 $3,800,000	 The Covered Wagon
1922	 	 1	 	 	 
1921	 	 4	 	 $11,700,000	 The Four Horsemen of the Apocalypse
1920	 	 4	 $100,000	 $3,000,000	 Over the Hill to the Poorhouse
1919	 	 1	 	 	 
1916	 	 5	 $292,954	 $8,000,000	 20,000 Leagues Under the Sea
1915	 	 3	 $110,000	 $11,000,000	 The Birth of a Nation
1902	 	 1	 	 $45,353	 Le Voyage dans la Lune
