Rank	Title (click to view)	Studio	Adjusted Gross	Unadjusted Gross	Year^
  1	Gone with the Wind	MGM	$1,822,598,200	$200,852,579	1939^
  2	Star Wars	Fox	$1,604,857,600	$460,998,007	1977^
  3	The Sound of Music	Fox	$1,283,791,300	$159,287,539	1965^
  4	E.T.: The Extra-Terrestrial	Uni.	$1,278,107,600	$435,110,554	1982^
  5	Titanic	Par.	$1,221,303,800	$659,363,944	1997^
  6	The Ten Commandments	Par.	$1,180,310,000	$65,500,000	1956
7	Jaws	Uni.	$1,153,990,200	$260,000,000	1975
8	Doctor Zhivago	MGM	$1,118,460,500	$111,721,910	1965
9	The Exorcist	WB	$996,498,500	$232,906,145	1973^
  10	Snow White and the Seven Dwarfs	Dis.	$982,090,000	$184,925,486	1937^
  11	Star Wars: The Force Awakens	BV	$974,117,000	$936,662,225	2015
12	101 Dalmatians	Dis.	$900,254,400	$144,880,014	1961^
  13	The Empire Strikes Back	Fox	$884,607,500	$290,475,067	1980^
  14	Ben-Hur	MGM	$883,402,600	$74,422,622	1959^
  15	Avatar	Fox	$876,759,300	$760,507,625	2009^
  16	Avengers: Endgame	BV	$858,373,000	2019	2009^
  17	Return of the Jedi	Fox	$847,475,300	$309,306,177	1983^
  18	Jurassic Park	Uni.	$825,894,500	$402,828,120	1993^
  19	Star Wars: Episode I - The Phantom Menace	Fox	$813,711,800	$474,544,677	1999^
  20	The Lion King	BV	$803,209,300	$422,783,777	1994^
  21	The Sting	Uni.	$803,177,100	$156,000,000	1973
22	Raiders of the Lost Ark	Par.	$797,776,400	$248,159,971	1981^
  23	The Graduate	AVCO	$771,047,200	$104,945,305	1967^
  24	Fantasia	Dis.	$748,221,700	$76,408,097	1941^
  25	The Godfather	Par.	$711,092,300	$134,966,411	1972^
  26	Forrest Gump	Par.	$708,520,900	$330,455,270	1994^
  27	Mary Poppins	Dis.	$704,418,200	$102,272,727	1964^
  28	Grease	Par.	$694,658,000	$189,969,103	1978^
  29	Marvel's The Avengers	BV	$692,699,700	$623,357,910	2012
30	Jurassic World	Uni.	$691,874,600	$652,270,625	2015
31	Black Panther	BV	$687,213,600	$700,059,566	2018
32	Thunderball	UA	$673,948,000	$63,595,658	1965
33	The Dark Knight	WB	$671,299,400	$535,234,033	2008^
34	The Jungle Book	Dis.	$663,856,000	$141,843,612	1967^
35	Sleeping Beauty	Dis.	$654,811,300	$51,600,000	1959^
36	Avengers: Infinity War	BV	$652,501,800	$678,815,482	2018
37	Ghostbusters	Col.	$641,275,300	$242,212,467	1984^
38	Shrek 2	DW	$640,168,900	$441,226,247	2004
39	Butch Cassidy and the Sundance Kid	Fox	$635,726,300	$102,308,889	1969
40	Love Story	Par.	$630,683,300	$106,397,186	1970
41	Spider-Man	Sony	$626,057,600	$403,706,375	2002
42	Independence Day	Fox	$624,112,600	$306,169,268	1996^
43	Home Alone	Fox	$610,285,100	$285,761,243	1990
44	Star Wars: The Last Jedi	BV	$609,026,300	$620,181,382	2017
45	Pinocchio	Dis.	$607,304,000	$84,254,167	1940^
46	Cleopatra (1963)	Fox	$605,323,000	$57,777,778	1963
47	Beverly Hills Cop	Par.	$605,021,700	$234,760,478	1984
